Time	stat-140323-165754-Porta80-1.txt	stat-140323-170110-Porta80-2.txt	stat-140323-170443-Porta80-3.txt	stat-140323-170827-Porta80-4.txt	stat-140323-171146-Porta80-5.txt	stat-140323-171538-Porta80-6.txt	stat-140323-172116-Porta80-7.txt	stat-140323-172430-Porta80-8.txt	stat-140323-175630-Porta80-9.txt	stat-140323-180112-Porta80-10.txt	stat-140323-180435-Porta80-11.txt	stat-140323-181113-Porta80-12.txt	stat-140323-181502-Porta80-13.txt	stat-140323-181815-Porta80-14.txt	stat-140323-182337-Porta80-15.txt	stat-140323-182724-Porta80-16.txt	stat-140323-183053-Porta80-17.txt	stat-140323-183416-Porta80-18.txt	stat-140323-184039-Porta80-19.txt	stat-140323-211037-Porta80-20.txt	stat-140323-211944-Porta80-21.txt	stat-140323-212256-Porta80-22.txt	stat-140323-212658-Porta80-23.txt	stat-140323-213104-Porta80-24.txt	stat-140323-213427-Porta80-25.txt	stat-140323-213801-Porta80-26.txt	stat-140323-214220-Porta80-27.txt	stat-140323-214643-Porta80-28.txt	stat-140323-215116-Porta80-29.txt	stat-140323-215431-Porta80-30.txt
74	248	0	1521	1808	2706	0	3032	855	2608	0	2528	2838	1995	382	2594	1854	1530	2830	2655	2242	0	2726	1885	2776	3183	3410	2254	1594	559	0	
75	1991	1335	0	2451	2899	0	3084	0	2926	2294	0	1314	2756	2520	2776	2137	3076	3107	2972	2833	1893	283	2617	2430	3187	2114	0	2442	0	1155	
76	2108	2723	0	2671	2534	1251	2676	0	14	3057	1117	0	2361	2535	31	0	2726	2496	3262	2557	2908	521	2641	0	1847	2993	0	2859	0	2788	
77	2691	2857	1697	2648	1954	2662	2623	3004	1931	3034	2834	0	2909	2823	0	0	5	1898	1236	1159	2591	3303	86	0	260	1235	0	377	209	2520	
78	2710	904	2477	2823	2000	2914	373	2505	2738	2961	2593	2148	2640	339	1337	3161	0	2439	0	0	405	2795	0	436	3196	0	0	0	3254	690	
79	2514	2136	3120	1587	2533	220	0	1523	2864	2847	2382	2584	2994	0	2873	3177	795	2691	661	0	2682	2877	2025	2871	2670	505	1719	1653	799	0	
80	2621	2436	2937	0	2551	0	0	0	3030	2627	0	1143	2811	179	2156	2202	2849	948	2909	2434	2747	384	3139	2429	2503	2612	1806	2624	0	0	
81	2748	2912	2940	0	3007	2050	2514	2418	2959	2251	167	0	1155	3013	30	0	2758	0	2622	2450	3161	0	2554	1423	1890	2965	0	2892	0	0	
82	2644	3008	1033	1328	2586	2674	3088	2575	2733	1450	2737	0	0	3463	0	0	1397	1112	1532	2648	2534	1371	209	0	2517	1546	0	2601	3406	1913	
83	0	776	3	3145	875	2423	2230	2726	2730	1308	2878	528	0	2917	0	0	0	2514	0	209	0	2787	0	0	3357	0	0	2305	2477	2933	
